what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1361836717149
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1361836717149
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1361836717149
java.specification.name,sysinfo,,,"Java Platform API Specification",1361836717149
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1361836717149
java.specification.version,sysinfo,,,"1.6",1361836717149
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1361836717149
java.version,sysinfo,,,"1.6.0_23",1361836717149
java.vm.info,sysinfo,,,"mixed mode",1361836717149
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1361836717149
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1361836717149
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1361836717149
java.vm.specification.version,sysinfo,,,"1.0",1361836717149
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1361836717149
java.vm.version,sysinfo,,,"19.0-b09",1361836717149
started,bundle,com.altera.sbtgui.core,11.0.0.208,"com.altera.sbtgui.core",1361836833529
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1361836833576
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1361836833795
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1361836847569
opened,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1361836847619
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1361836847773
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1361836848284
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1361836850801
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1361836850840
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1361836851004
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1361836867461
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1361836867657
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1361836873260
activated,editor,org.eclipse.cdt.make.ui,7.0.0.201009141542,"org.eclipse.cdt.make.editor",1361836873470
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361836887144
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1361836889921
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1361836890317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361836890342
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1361836891732
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1361836892201
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361836898029
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1361836904069
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1361836904089
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1361836904566
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1361836913020
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1361836915789
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1361836922452
